norad_id,name,mean_motion_nominal,eccentricity,inclination_deg,bstar,mean_motion_dot,altitude_km_approx,period_minutes
59112,SONATE-2,15.58207311,0.00067204,97.5521,0.00052299602,0.00039539,400.0,92.41
60209,MESAT1,15.62487131,0.00089241,97.2316,0.00052924694,0.00047193,387.6,92.16
61746,COLIBRI-S (RS67S),15.47450701,0.0006417,97.3009,0.00037589381,0.00019217,431.3,93.06
61753,HORS 3 (RS81S),15.54515538,0.00040245,97.2992,0.00048454341,0.00031905,410.7,92.63
61754,HORS 4 (RS82S),15.59072972,0.00030897,97.2941,0.00061298655,0.00047909,397.5,92.36
61762,ARCTICSAT 1 (RS74S),16.13658022,0.0010294,97.2858,0.0010262923,0.01204176,244.0,89.24
61764,SIT-2086,15.52632623,0.00043848,97.2949,0.00054883556,0.0003378,416.2,92.75
61772,HYPERVIEW 1G (RS66S),15.74115316,0.00022637,97.2897,0.00048810265,0.00069962,354.3,91.48
61779,ALTAIR (RS65S),15.36900415,0.00117511,97.3046,0.00028944527,0.00010387,462.4,93.7
61781,ASRTU-1 (AO-123),15.35580188,0.00129676,97.3016,0.00020267802,6.947e-05,466.3,93.78
61784,SAMSAT-IONOSPHERE (RS75S),15.57052607,0.00061528,97.2963,0.00055759018,0.00040383,403.3,92.48
61785,RTU MIREA 1 (RS51S),15.60372024,0.00055437,97.2952,0.00058718346,0.00048229,393.7,92.29
64878,INNOSAT 16 (RS92S7),15.25386694,0.0009751,97.4555,0.00020336258,5.066e-05,496.8,94.4
64879,GEOSCAN 6 (RS92S6),15.30027624,0.00074538,97.4547,0.00032058699,9.25e-05,482.9,94.12
64880,GEOSCAN 1 (RS92S1),15.30612449,0.00074046,97.4544,0.00033682981,9.901e-05,481.1,94.08
64881,239ALFEROV (RS61S),15.32764171,0.00071101,97.4545,0.00040414845,0.00012725,474.7,93.95
64890,GEOSCAN 2 (RS92S2),15.30884188,0.00072521,97.4543,0.00033078761,9.804e-05,480.3,94.06
64891,GEOSCAN 5 (RS92S5),15.33082313,0.00057794,97.4537,0.00040053704,0.00012734,473.8,93.93
64892,GEOSCAN 4 (RS92S4),15.33232343,0.00058475,97.4541,0.00041131106,0.00013142,473.3,93.92
64893,GEOSCAN 3 (RS92S3),15.35175774,0.0005744,97.453,0.00049160054,0.00016729,467.5,93.8
64894,INNOSAT 3 (RS92S0),15.43362968,0.0005341,97.448,0.00073225799,0.00032687,443.3,93.3
